C0040560	MONDO:0005715
C0040584	MONDO:0005990
C0040592	MONDO:0001249
C0040820	MONDO:0015675
C0040830	MONDO:0005991
C0040896	MONDO:0019444
C0040921	MONDO:0002154
C0040947	MONDO:0005994
C0040948	MONDO:0005995
C0040953	MONDO:0013189
C0041107	MONDO:0700065
C0041170	MONDO:0005998
C0041188	MONDO:0019168
C0041227	MONDO:0000940
C0041228	MONDO:0005459
C0041232	MONDO:0021932
C0041233	MONDO:0021941
C0041234	MONDO:0001444
C0041254	MONDO:0017350
C0041295	MONDO:0021943
C0041296	MONDO:0018076
C0041309	MONDO:0021948
C0041310	MONDO:0006743
C0041312	MONDO:0005768
C0041313	MONDO:0005787
C0041315	MONDO:0005819
C0041316	MONDO:0005831
C0041317	MONDO:0006845
C0041318	MONDO:0006042
C0041321	MONDO:0005848
C0041322	MONDO:0006876
C0041323	MONDO:0005887
C0041324	MONDO:0005962
C0041325	MONDO:0006000
C0041326	MONDO:0005922
C0041327	MONDO:0006052
C0041328	MONDO:0005938
C0041330	MONDO:0043836
C0041331	MONDO:0005967
C0041333	MONDO:0006002
C0041336	MONDO:0021953
C0041341	MONDO:0001734
C0041351	MONDO:0018077
C0041364	MONDO:0043875
C0041408	MONDO:0019499
C0041466	MONDO:0005619
C0041471	MONDO:0001246
